EN,EN_without_numbers,,FR_without_numbers,numbers,FR
84-121550-0011 NOW HELICON MUST NEEDS POUR FORTH FOR ME AND WITH HER CHOIR URANIA MUST ASSIST ME TO PUT IN VERSE THINGS DIFFICULT TO THINK,NOW HELICON MUST NEEDS POUR FORTH FOR ME AND WITH HER CHOIR URANIA MUST ASSIST ME TO PUT IN VERSE THINGS DIFFICULT TO THINK,,"Maintenant, Helicon doit avoir besoin de couler pour moi et avec sa chorale, Urania doit m'aider à mettre en vers des choses difficiles à penser",84-121550-0011 ,"84-121550-0011 Maintenant, Helicon doit avoir besoin de couler pour moi et avec sa chorale, Urania doit m'aider à mettre en vers des choses difficiles à penser"
84-121550-0012 THEN BACK I TURNED MY FACE TO THOSE HIGH THINGS WHICH MOVED THEMSELVES TOWARDS US SO SEDATELY THEY HAD BEEN DISTANCED BY NEW WEDDED BRIDES,THEN BACK I TURNED MY FACE TO THOSE HIGH THINGS WHICH MOVED THEMSELVES TOWARDS US SO SEDATELY THEY HAD BEEN DISTANCED BY NEW WEDDED BRIDES,,"Puis en arrière, j'ai tourné mon visage vers ces choses hautes qui se sont éveillées vers nous si sédèrement qu'elles avaient été distanciées par de nouvelles mariées mariées",84-121550-0012 ,"84-121550-0012 Puis en arrière, j'ai tourné mon visage vers ces choses hautes qui se sont éveillées vers nous si sédèrement qu'elles avaient été distanciées par de nouvelles mariées mariées"
84-121550-0013 AND I BEHELD THE FLAMELETS ONWARD GO LEAVING BEHIND THEMSELVES THE AIR DEPICTED AND THEY OF TRAILING PENNONS HAD THE SEMBLANCE SO THAT IT OVERHEAD REMAINED DISTINCT WITH SEVENFOLD LISTS ALL OF THEM OF THE COLOURS WHENCE THE SUN'S BOW IS MADE AND DELIA'S GIRDLE,AND I BEHELD THE FLAMELETS ONWARD GO LEAVING BEHIND THEMSELVES THE AIR DEPICTED AND THEY OF TRAILING PENNONS HAD THE SEMBLANCE SO THAT IT OVERHEAD REMAINED DISTINCT WITH SEVENFOLD LISTS ALL OF THEM OF THE COLOURS WHENCE THE SUN'S BOW IS MADE AND DELIA'S GIRDLE,,"Et je voyais les flamelets en avant, laissant derrière eux l'air représentés et ceux de Pennons traînants avaient le semblant de manière à ce qu'il soit resté distinct avec sept fois, toutes les couleurs est faite et la ceinture de Delia et la ceinture de Delia",84-121550-0013 ,"84-121550-0013 Et je voyais les flamelets en avant, laissant derrière eux l'air représentés et ceux de Pennons traînants avaient le semblant de manière à ce qu'il soit resté distinct avec sept fois, toutes les couleurs est faite et la ceinture de Delia et la ceinture de Delia"
84-121550-0014 THESE STANDARDS TO THE REARWARD LONGER WERE THAN WAS MY SIGHT AND AS IT SEEMED TO ME TEN PACES WERE THE OUTERMOST APART,THESE STANDARDS TO THE REARWARD LONGER WERE THAN WAS MY SIGHT AND AS IT SEEMED TO ME TEN PACES WERE THE OUTERMOST APART,,Ces normes à l'arrière plus longtemps étaient que ce qui était ma vue et comme il me semblait que dix pas étaient les plus à l'extérieur séparés,84-121550-0014 ,84-121550-0014 Ces normes à l'arrière plus longtemps étaient que ce qui était ma vue et comme il me semblait que dix pas étaient les plus à l'extérieur séparés
84-121550-0015 THE INTERVAL BETWEEN THESE FOUR CONTAINED A CHARIOT TRIUMPHAL ON TWO WHEELS WHICH BY A GRIFFIN'S NECK CAME DRAWN ALONG,THE INTERVAL BETWEEN THESE FOUR CONTAINED A CHARIOT TRIUMPHAL ON TWO WHEELS WHICH BY A GRIFFIN'S NECK CAME DRAWN ALONG,,"L'intervalle entre ces quatre contenait un triomphe de char sur deux roues qui, par un cou de Griffin, est venu attiré",84-121550-0015 ,"84-121550-0015 L'intervalle entre ces quatre contenait un triomphe de char sur deux roues qui, par un cou de Griffin, est venu attiré"
84-121550-0016 NOT ONLY ROME WITH NO SUCH SPLENDID CAR E'ER GLADDENED AFRICANUS OR AUGUSTUS BUT POOR TO IT THAT OF THE SUN WOULD BE,NOT ONLY ROME WITH NO SUCH SPLENDID CAR E'ER GLADDENED AFRICANUS OR AUGUSTUS BUT POOR TO IT THAT OF THE SUN WOULD BE,,"Non seulement Rome sans aucune voiture aussi splendide a été réjoui africanus ou Auguste, mais aussi pauvre que celle du soleil",84-121550-0016 ,"84-121550-0016 Non seulement Rome sans aucune voiture aussi splendide a été réjoui africanus ou Auguste, mais aussi pauvre que celle du soleil"
84-121550-0017 THREE MAIDENS AT THE RIGHT WHEEL IN A CIRCLE CAME ONWARD DANCING ONE SO VERY RED THAT IN THE FIRE SHE HARDLY HAD BEEN NOTED,THREE MAIDENS AT THE RIGHT WHEEL IN A CIRCLE CAME ONWARD DANCING ONE SO VERY RED THAT IN THE FIRE SHE HARDLY HAD BEEN NOTED,,"Trois jeunes filles à la roue de droite dans un cercle sont venues dansant une danse si rouge que dans le feu, elle avait à peine noté",84-121550-0017 ,"84-121550-0017 Trois jeunes filles à la roue de droite dans un cercle sont venues dansant une danse si rouge que dans le feu, elle avait à peine noté"
84-121550-0018 THE SECOND WAS AS IF HER FLESH AND BONES HAD ALL BEEN FASHIONED OUT OF EMERALD THE THIRD APPEARED AS SNOW BUT NEWLY FALLEN,THE SECOND WAS AS IF HER FLESH AND BONES HAD ALL BEEN FASHIONED OUT OF EMERALD THE THIRD APPEARED AS SNOW BUT NEWLY FALLEN,,"La seconde était comme si sa chair et ses os avaient tous été façonnés hors de l'émeraude, le troisième appartenait comme de la neige mais récemment tombée",84-121550-0018 ,"84-121550-0018 La seconde était comme si sa chair et ses os avaient tous été façonnés hors de l'émeraude, le troisième appartenait comme de la neige mais récemment tombée"
84-121550-0019 IN REAR OF ALL THE GROUP HERE TREATED OF TWO OLD MEN I BEHELD UNLIKE IN HABIT BUT LIKE IN GAIT EACH DIGNIFIED AND GRAVE,IN REAR OF ALL THE GROUP HERE TREATED OF TWO OLD MEN I BEHELD UNLIKE IN HABIT BUT LIKE IN GAIT EACH DIGNIFIED AND GRAVE,,À l'arrière de tout le groupe ici traité de deux vieillards que je voyais contrairement à l'habitude mais comme dans la démarche chaque digne et grave,84-121550-0019 ,84-121550-0019 À l'arrière de tout le groupe ici traité de deux vieillards que je voyais contrairement à l'habitude mais comme dans la démarche chaque digne et grave
84-121550-0020 AND WHEN THE CAR WAS OPPOSITE TO ME THUNDER WAS HEARD AND ALL THAT FOLK AUGUST SEEMED TO HAVE FURTHER PROGRESS INTERDICTED,AND WHEN THE CAR WAS OPPOSITE TO ME THUNDER WAS HEARD AND ALL THAT FOLK AUGUST SEEMED TO HAVE FURTHER PROGRESS INTERDICTED,,"Et quand la voiture était opposée à moi, Thunder a été entendu et que tout ce que le folk août semblait avoir des progrès supplémentaires interdits",84-121550-0020 ,"84-121550-0020 Et quand la voiture était opposée à moi, Thunder a été entendu et que tout ce que le folk août semblait avoir des progrès supplémentaires interdits"
84-121550-0021 AND ONE OF THEM AS IF BY HEAVEN COMMISSIONED SINGING VENI SPONSA DE LIBANO SHOUTED THREE TIMES AND ALL THE OTHERS AFTER,AND ONE OF THEM AS IF BY HEAVEN COMMISSIONED SINGING VENI SPONSA DE LIBANO SHOUTED THREE TIMES AND ALL THE OTHERS AFTER,,Et l'un d'eux comme si par le ciel commandé en chantant Veni Sponsa de Libano a crié trois fois et tous les autres après,84-121550-0021 ,84-121550-0021 Et l'un d'eux comme si par le ciel commandé en chantant Veni Sponsa de Libano a crié trois fois et tous les autres après
84-121550-0022 AS SOON AS ON MY VISION SMOTE THE POWER SUBLIME THAT HAD ALREADY PIERCED ME THROUGH ERE FROM MY BOYHOOD I HAD YET COME FORTH,AS SOON AS ON MY VISION SMOTE THE POWER SUBLIME THAT HAD ALREADY PIERCED ME THROUGH ERE FROM MY BOYHOOD I HAD YET COME FORTH,,"Dès que sur ma vision, j'ai frappé le pouvoir sublime qui m'avait déjà percé par mon enfance, je suis encore sorti",84-121550-0022 ,"84-121550-0022 Dès que sur ma vision, j'ai frappé le pouvoir sublime qui m'avait déjà percé par mon enfance, je suis encore sorti"
84-121550-0023 TO THE LEFT HAND I TURNED WITH THAT RELIANCE WITH WHICH THE LITTLE CHILD RUNS TO HIS MOTHER WHEN HE HAS FEAR OR WHEN HE IS AFFLICTED,TO THE LEFT HAND I TURNED WITH THAT RELIANCE WITH WHICH THE LITTLE CHILD RUNS TO HIS MOTHER WHEN HE HAS FEAR OR WHEN HE IS AFFLICTED,,"À la main gauche, je me suis tourné avec cette dépendance avec laquelle le petit enfant court vers sa mère quand il a peur ou quand il est affligé",84-121550-0023 ,"84-121550-0023 À la main gauche, je me suis tourné avec cette dépendance avec laquelle le petit enfant court vers sa mère quand il a peur ou quand il est affligé"
84-121550-0024 TO SAY UNTO VIRGILIUS NOT A DRACHM OF BLOOD REMAINS IN ME THAT DOES NOT TREMBLE I KNOW THE TRACES OF THE ANCIENT FLAME,TO SAY UNTO VIRGILIUS NOT A DRACHM OF BLOOD REMAINS IN ME THAT DOES NOT TREMBLE I KNOW THE TRACES OF THE ANCIENT FLAME,,"Dire à Virgilius pas un drachme de sang reste en moi qui ne tremble pas, je connais les traces de l'ancienne flamme",84-121550-0024 ,"84-121550-0024 Dire à Virgilius pas un drachme de sang reste en moi qui ne tremble pas, je connais les traces de l'ancienne flamme"
84-121550-0025 DANTE BECAUSE VIRGILIUS HAS DEPARTED DO NOT WEEP YET DO NOT WEEP YET AWHILE FOR BY ANOTHER SWORD THOU NEED'ST MUST WEEP,DANTE BECAUSE VIRGILIUS HAS DEPARTED DO NOT WEEP YET DO NOT WEEP YET AWHILE FOR BY ANOTHER SWORD THOU NEED'ST MUST WEEP,,"Dante parce que Virgilius est parti, ne pleure pas mais ne pleure pas encore un certain temps par une autre épée que tu as besoin de pleurer",84-121550-0025 ,"84-121550-0025 Dante parce que Virgilius est parti, ne pleure pas mais ne pleure pas encore un certain temps par une autre épée que tu as besoin de pleurer"
84-121550-0026 I SAW THE LADY WHO EREWHILE APPEARED VEILED UNDERNEATH THE ANGELIC FESTIVAL DIRECT HER EYES TO ME ACROSS THE RIVER,I SAW THE LADY WHO EREWHILE APPEARED VEILED UNDERNEATH THE ANGELIC FESTIVAL DIRECT HER EYES TO ME ACROSS THE RIVER,,"J'ai vu la dame qui, à ce moment-là, semblait voilée sous le festival angélique diriger ses yeux vers moi à travers la rivière",84-121550-0026 ,"84-121550-0026 J'ai vu la dame qui, à ce moment-là, semblait voilée sous le festival angélique diriger ses yeux vers moi à travers la rivière"
84-121550-0027 LOOK AT ME WELL IN SOOTH I'M BEATRICE,LOOK AT ME WELL IN SOOTH I'M BEATRICE,,"Regarde-moi bien dans Sooth, je suis Beatrice",84-121550-0027 ,"84-121550-0027 Regarde-moi bien dans Sooth, je suis Beatrice"
84-121550-0028 YE KEEP YOUR WATCH IN THE ETERNAL DAY SO THAT NOR NIGHT NOR SLEEP CAN STEAL FROM YOU ONE STEP THE AGES MAKE UPON THEIR PATH,YE KEEP YOUR WATCH IN THE ETERNAL DAY SO THAT NOR NIGHT NOR SLEEP CAN STEAL FROM YOU ONE STEP THE AGES MAKE UPON THEIR PATH,,Vous gardez votre montre dans le jour éternel afin que ni la nuit ni le sommeil ne puissent vous voler un pas que les âges font sur leur chemin,84-121550-0028 ,84-121550-0028 Vous gardez votre montre dans le jour éternel afin que ni la nuit ni le sommeil ne puissent vous voler un pas que les âges font sur leur chemin
84-121550-0029 THEREFORE MY ANSWER IS WITH GREATER CARE THAT HE MAY HEAR ME WHO IS WEEPING YONDER SO THAT THE SIN AND DOLE BE OF ONE MEASURE,THEREFORE MY ANSWER IS WITH GREATER CARE THAT HE MAY HEAR ME WHO IS WEEPING YONDER SO THAT THE SIN AND DOLE BE OF ONE MEASURE,,"Par conséquent, ma réponse est avec plus de soin qu'il puisse m'entendre qui pleure là-bas afin que le péché et le dole soient d'une seule mesure",84-121550-0029 ,"84-121550-0029 Par conséquent, ma réponse est avec plus de soin qu'il puisse m'entendre qui pleure là-bas afin que le péché et le dole soient d'une seule mesure"
84-121550-0030 BUT BY THE LARGESS OF CELESTIAL GRACES WHICH HAVE SUCH LOFTY VAPOURS FOR THEIR RAIN THAT NEAR TO THEM OUR SIGHT APPROACHES NOT,BUT BY THE LARGESS OF CELESTIAL GRACES WHICH HAVE SUCH LOFTY VAPOURS FOR THEIR RAIN THAT NEAR TO THEM OUR SIGHT APPROACHES NOT,,"Mais par les largesses des grâces célestes qui ont des vapeurs aussi élevées pour leur pluie qui, à proximité, notre vue approche pas",84-121550-0030 ,"84-121550-0030 Mais par les largesses des grâces célestes qui ont des vapeurs aussi élevées pour leur pluie qui, à proximité, notre vue approche pas"
84-121550-0031 AS SOON AS EVER OF MY SECOND AGE I WAS UPON THE THRESHOLD AND CHANGED LIFE HIMSELF FROM ME HE TOOK AND GAVE TO OTHERS,AS SOON AS EVER OF MY SECOND AGE I WAS UPON THE THRESHOLD AND CHANGED LIFE HIMSELF FROM ME HE TOOK AND GAVE TO OTHERS,,"Dès que jamais de mon deuxième âge, j'étais sur le seuil et j'ai changé la vie lui-même, il a pris et a donné aux autres",84-121550-0031 ,"84-121550-0031 Dès que jamais de mon deuxième âge, j'étais sur le seuil et j'ai changé la vie lui-même, il a pris et a donné aux autres"
84-121550-0032 SO LOW HE FELL THAT ALL APPLIANCES FOR HIS SALVATION WERE ALREADY SHORT SAVE SHOWING HIM THE PEOPLE OF PERDITION,SO LOW HE FELL THAT ALL APPLIANCES FOR HIS SALVATION WERE ALREADY SHORT SAVE SHOWING HIM THE PEOPLE OF PERDITION,,"Si bas, il est tombé que tous les appareils pour son salut étaient déjà courts, ce qui lui montre le peuple de perdition",84-121550-0032 ,"84-121550-0032 Si bas, il est tombé que tous les appareils pour son salut étaient déjà courts, ce qui lui montre le peuple de perdition"
84-121550-0033 CONFUSION AND DISMAY TOGETHER MINGLED FORCED SUCH A YES FROM OUT MY MOUTH THAT SIGHT WAS NEEDFUL TO THE UNDERSTANDING OF IT,CONFUSION AND DISMAY TOGETHER MINGLED FORCED SUCH A YES FROM OUT MY MOUTH THAT SIGHT WAS NEEDFUL TO THE UNDERSTANDING OF IT,,La confusion et la consternation se sont mélangées forcées un tel oui de ma bouche que la vue était nécessaire à la compréhension de celle-ci,84-121550-0033 ,84-121550-0033 La confusion et la consternation se sont mélangées forcées un tel oui de ma bouche que la vue était nécessaire à la compréhension de celle-ci
84-121550-0034 WHENCE SHE TO ME IN THOSE DESIRES OF MINE WHICH LED THEE TO THE LOVING OF THAT GOOD BEYOND WHICH THERE IS NOTHING TO ASPIRE TO,WHENCE SHE TO ME IN THOSE DESIRES OF MINE WHICH LED THEE TO THE LOVING OF THAT GOOD BEYOND WHICH THERE IS NOTHING TO ASPIRE TO,,D'où elle moi dans mes désirs qui vous ont conduit à l'amour de ce bien au-delà de laquelle il n'y a rien à aspirer à,84-121550-0034 ,84-121550-0034 D'où elle moi dans mes désirs qui vous ont conduit à l'amour de ce bien au-delà de laquelle il n'y a rien à aspirer à
84-121550-0035 AND WHAT ALLUREMENTS OR WHAT VANTAGES UPON THE FOREHEAD OF THE OTHERS SHOWED THAT THOU SHOULDST TURN THY FOOTSTEPS UNTO THEM,AND WHAT ALLUREMENTS OR WHAT VANTAGES UPON THE FOREHEAD OF THE OTHERS SHOWED THAT THOU SHOULDST TURN THY FOOTSTEPS UNTO THEM,,Et quelles séchanges ou quels vantages sur le front des autres ont montré que tu devrais y retourner tes pas,84-121550-0035 ,84-121550-0035 Et quelles séchanges ou quels vantages sur le front des autres ont montré que tu devrais y retourner tes pas
84-121123-0000 GO DO YOU HEAR,GO DO YOU HEAR,,Allez-vous entendre,84-121123-0000 ,84-121123-0000 Allez-vous entendre
84-121123-0001 BUT IN LESS THAN FIVE MINUTES THE STAIRCASE GROANED BENEATH AN EXTRAORDINARY WEIGHT,BUT IN LESS THAN FIVE MINUTES THE STAIRCASE GROANED BENEATH AN EXTRAORDINARY WEIGHT,,"Mais en moins de cinq minutes, l'escalier gémit sous un poids extraordinaire",84-121123-0001 ,"84-121123-0001 Mais en moins de cinq minutes, l'escalier gémit sous un poids extraordinaire"
84-121123-0002 AT THIS MOMENT THE WHOLE SOUL OF THE OLD MAN SEEMED CENTRED IN HIS EYES WHICH BECAME BLOODSHOT THE VEINS OF THE THROAT SWELLED HIS CHEEKS AND TEMPLES BECAME PURPLE AS THOUGH HE WAS STRUCK WITH EPILEPSY NOTHING WAS WANTING TO COMPLETE THIS BUT THE UTTERANCE OF A CRY,AT THIS MOMENT THE WHOLE SOUL OF THE OLD MAN SEEMED CENTRED IN HIS EYES WHICH BECAME BLOODSHOT THE VEINS OF THE THROAT SWELLED HIS CHEEKS AND TEMPLES BECAME PURPLE AS THOUGH HE WAS STRUCK WITH EPILEPSY NOTHING WAS WANTING TO COMPLETE THIS BUT THE UTTERANCE OF A CRY,,"En ce moment, toute l'âme du vieil homme semblait centré dans ses yeux qui est devenue le sang, les veines de la gorge ont gonflé ses joues et ses tempes devenaient violets comme s'il avait été frappé d'épilepsie, rien ne voulait terminer cela, mais l'énoncé d'un cri",84-121123-0002 ,"84-121123-0002 En ce moment, toute l'âme du vieil homme semblait centré dans ses yeux qui est devenue le sang, les veines de la gorge ont gonflé ses joues et ses tempes devenaient violets comme s'il avait été frappé d'épilepsie, rien ne voulait terminer cela, mais l'énoncé d'un cri"
84-121123-0003 AND THE CRY ISSUED FROM HIS PORES IF WE MAY THUS SPEAK A CRY FRIGHTFUL IN ITS SILENCE,AND THE CRY ISSUED FROM HIS PORES IF WE MAY THUS SPEAK A CRY FRIGHTFUL IN ITS SILENCE,,Et le cri émis de ses pores si nous pouvons ainsi dire un cri effrayant dans son silence,84-121123-0003 ,84-121123-0003 Et le cri émis de ses pores si nous pouvons ainsi dire un cri effrayant dans son silence
84-121123-0004 D'AVRIGNY RUSHED TOWARDS THE OLD MAN AND MADE HIM INHALE A POWERFUL RESTORATIVE,D'AVRIGNY RUSHED TOWARDS THE OLD MAN AND MADE HIM INHALE A POWERFUL RESTORATIVE,,D'Avrigny se précipita vers le vieil homme et lui faisait inspirer un puissant réparateur,84-121123-0004 ,84-121123-0004 D'Avrigny se précipita vers le vieil homme et lui faisait inspirer un puissant réparateur
84-121123-0005 D'AVRIGNY UNABLE TO BEAR THE SIGHT OF THIS TOUCHING EMOTION TURNED AWAY AND VILLEFORT WITHOUT SEEKING ANY FURTHER EXPLANATION AND ATTRACTED TOWARDS HIM BY THE IRRESISTIBLE MAGNETISM WHICH DRAWS US TOWARDS THOSE WHO HAVE LOVED THE PEOPLE FOR WHOM WE MOURN EXTENDED HIS HAND TOWARDS THE YOUNG MAN,D'AVRIGNY UNABLE TO BEAR THE SIGHT OF THIS TOUCHING EMOTION TURNED AWAY AND VILLEFORT WITHOUT SEEKING ANY FURTHER EXPLANATION AND ATTRACTED TOWARDS HIM BY THE IRRESISTIBLE MAGNETISM WHICH DRAWS US TOWARDS THOSE WHO HAVE LOVED THE PEOPLE FOR WHOM WE MOURN EXTENDED HIS HAND TOWARDS THE YOUNG MAN,,D'Avrigny incapable de supporter la vue de cette émotion touchante s'est détournée et Villefort sans chercher d'autres explications et attiré vers lui par le magnétisme irrésistible qui nous attire vers ceux qui ont aimé les gens pour lesquels nous pleurons a tendu la main vers le jeune homme,84-121123-0005 ,84-121123-0005 D'Avrigny incapable de supporter la vue de cette émotion touchante s'est détournée et Villefort sans chercher d'autres explications et attiré vers lui par le magnétisme irrésistible qui nous attire vers ceux qui ont aimé les gens pour lesquels nous pleurons a tendu la main vers le jeune homme
84-121123-0006 FOR SOME TIME NOTHING WAS HEARD IN THAT CHAMBER BUT SOBS EXCLAMATIONS AND PRAYERS,FOR SOME TIME NOTHING WAS HEARD IN THAT CHAMBER BUT SOBS EXCLAMATIONS AND PRAYERS,,"Pendant un certain temps, rien n'a été entendu dans cette chambre mais sanglote les exclamations et les prières",84-121123-0006 ,"84-121123-0006 Pendant un certain temps, rien n'a été entendu dans cette chambre mais sanglote les exclamations et les prières"
84-121123-0007 WHAT DO YOU MEAN SIR,WHAT DO YOU MEAN SIR,,"QUE VOULEZ-VOUS DIRE, MONSIEUR",84-121123-0007 ,"84-121123-0007 QUE VOULEZ-VOUS DIRE, MONSIEUR"
84-121123-0008 OH YOU RAVE SIR EXCLAIMED VILLEFORT IN VAIN ENDEAVORING TO ESCAPE THE NET IN WHICH HE WAS TAKEN I RAVE,OH YOU RAVE SIR EXCLAIMED VILLEFORT IN VAIN ENDEAVORING TO ESCAPE THE NET IN WHICH HE WAS TAKEN I RAVE,,"Oh vous rave Sir s'exclama Villefort en vain qui s'efforce d'échapper au filet dans lequel il a été emmené, je rave",84-121123-0008 ,"84-121123-0008 Oh vous rave Sir s'exclama Villefort en vain qui s'efforce d'échapper au filet dans lequel il a été emmené, je rave"
84-121123-0009 DO YOU KNOW THE ASSASSIN ASKED MORREL,DO YOU KNOW THE ASSASSIN ASKED MORREL,,Savez-vous que l'assassin a demandé à Morrel,84-121123-0009 ,84-121123-0009 Savez-vous que l'assassin a demandé à Morrel
84-121123-0010 NOIRTIER LOOKED UPON MORREL WITH ONE OF THOSE MELANCHOLY SMILES WHICH HAD SO OFTEN MADE VALENTINE HAPPY AND THUS FIXED HIS ATTENTION,NOIRTIER LOOKED UPON MORREL WITH ONE OF THOSE MELANCHOLY SMILES WHICH HAD SO OFTEN MADE VALENTINE HAPPY AND THUS FIXED HIS ATTENTION,,Nutier a regardé Morrel avec l'un de ces sourires mélancoliques qui avaient si souvent rendu Valentine heureuse et ont ainsi corrigé son attention,84-121123-0010 ,84-121123-0010 Nutier a regardé Morrel avec l'un de ces sourires mélancoliques qui avaient si souvent rendu Valentine heureuse et ont ainsi corrigé son attention
84-121123-0011 SAID MORREL SADLY YES REPLIED NOIRTIER,SAID MORREL SADLY YES REPLIED NOIRTIER,,Dit Morrel malheureusement oui a répondu Noirtier,84-121123-0011 ,84-121123-0011 Dit Morrel malheureusement oui a répondu Noirtier
84-121123-0012 THE OLD MAN'S EYES REMAINED FIXED ON THE DOOR,THE OLD MAN'S EYES REMAINED FIXED ON THE DOOR,,Les yeux du vieil homme sont restés fixés sur la porte,84-121123-0012 ,84-121123-0012 Les yeux du vieil homme sont restés fixés sur la porte
84-121123-0013 ASKED MORREL YES,ASKED MORREL YES,,A demandé à Morrel oui,84-121123-0013 ,84-121123-0013 A demandé à Morrel oui
84-121123-0014 MUST I LEAVE ALONE NO,MUST I LEAVE ALONE NO,,Dois-je laisser seul non,84-121123-0014 ,84-121123-0014 Dois-je laisser seul non
84-121123-0015 BUT CAN HE UNDERSTAND YOU YES,BUT CAN HE UNDERSTAND YOU YES,,Mais peut-il te comprendre oui,84-121123-0015 ,84-121123-0015 Mais peut-il te comprendre oui
84-121123-0016 GENTLEMEN HE SAID IN A HOARSE VOICE GIVE ME YOUR WORD OF HONOR THAT THIS HORRIBLE SECRET SHALL FOREVER REMAIN BURIED AMONGST OURSELVES THE TWO MEN DREW BACK,GENTLEMEN HE SAID IN A HOARSE VOICE GIVE ME YOUR WORD OF HONOR THAT THIS HORRIBLE SECRET SHALL FOREVER REMAIN BURIED AMONGST OURSELVES THE TWO MEN DREW BACK,,"Messieurs, a-t-il dit d'une voix rauque, donnez-moi votre parole d'honneur que cet horrible secret restera à jamais enterré parmi nous-mêmes les deux hommes se sont retirés",84-121123-0016 ,"84-121123-0016 Messieurs, a-t-il dit d'une voix rauque, donnez-moi votre parole d'honneur que cet horrible secret restera à jamais enterré parmi nous-mêmes les deux hommes se sont retirés"
84-121123-0017 MY FATHER HAS REVEALED THE CULPRIT'S NAME MY FATHER THIRSTS FOR REVENGE AS MUCH AS YOU DO YET EVEN HE CONJURES YOU AS I DO TO KEEP THIS SECRET DO YOU NOT FATHER,MY FATHER HAS REVEALED THE CULPRIT'S NAME MY FATHER THIRSTS FOR REVENGE AS MUCH AS YOU DO YET EVEN HE CONJURES YOU AS I DO TO KEEP THIS SECRET DO YOU NOT FATHER,,"Mon père a révélé le nom du coupable que mon père soif de vengeance autant que vous le faites pourtant il vous évoque comme moi pour garder ce secret, n'est-ce pas père",84-121123-0017 ,"84-121123-0017 Mon père a révélé le nom du coupable que mon père soif de vengeance autant que vous le faites pourtant il vous évoque comme moi pour garder ce secret, n'est-ce pas père"
84-121123-0018 MORREL SUFFERED AN EXCLAMATION OF HORROR AND SURPRISE TO ESCAPE HIM,MORREL SUFFERED AN EXCLAMATION OF HORROR AND SURPRISE TO ESCAPE HIM,,Morrel a subi une exclamation d'horreur et de surprise de lui échapper,84-121123-0018 ,84-121123-0018 Morrel a subi une exclamation d'horreur et de surprise de lui échapper
84-121123-0019 THE OLD MAN MADE A SIGN IN THE AFFIRMATIVE,THE OLD MAN MADE A SIGN IN THE AFFIRMATIVE,,Le vieil homme a fait un signe dans l'affirmative,84-121123-0019 ,84-121123-0019 Le vieil homme a fait un signe dans l'affirmative
84-121123-0020 IT WAS SOMETHING TERRIBLE TO WITNESS THE SILENT AGONY THE MUTE DESPAIR OF NOIRTIER WHOSE TEARS SILENTLY ROLLED DOWN HIS CHEEKS,IT WAS SOMETHING TERRIBLE TO WITNESS THE SILENT AGONY THE MUTE DESPAIR OF NOIRTIER WHOSE TEARS SILENTLY ROLLED DOWN HIS CHEEKS,,C'était quelque chose de terrible pour assister à l'agonie silencieuse le désespoir muet de Nutier dont les larmes coulaient silencieusement sur ses joues,84-121123-0020 ,84-121123-0020 C'était quelque chose de terrible pour assister à l'agonie silencieuse le désespoir muet de Nutier dont les larmes coulaient silencieusement sur ses joues
84-121123-0021 BUT HE STOPPED ON THE LANDING HE HAD NOT THE COURAGE TO AGAIN VISIT THE DEATH CHAMBER,BUT HE STOPPED ON THE LANDING HE HAD NOT THE COURAGE TO AGAIN VISIT THE DEATH CHAMBER,,"Mais il s'est arrêté sur l'atterrissage, il n'avait pas le courage de visiter à nouveau la chambre de mort",84-121123-0021 ,"84-121123-0021 Mais il s'est arrêté sur l'atterrissage, il n'avait pas le courage de visiter à nouveau la chambre de mort"
84-121123-0022 THE TWO DOCTORS THEREFORE ENTERED THE ROOM ALONE,THE TWO DOCTORS THEREFORE ENTERED THE ROOM ALONE,,Les deux médecins sont donc entrés seuls dans la pièce,84-121123-0022 ,84-121123-0022 Les deux médecins sont donc entrés seuls dans la pièce
84-121123-0023 NOIRTIER WAS NEAR THE BED PALE MOTIONLESS AND SILENT AS THE CORPSE,NOIRTIER WAS NEAR THE BED PALE MOTIONLESS AND SILENT AS THE CORPSE,,Noirtier était près du lit pâle immobile et silencieux comme le cadavre,84-121123-0023 ,84-121123-0023 Noirtier était près du lit pâle immobile et silencieux comme le cadavre
84-121123-0024 THE DISTRICT DOCTOR APPROACHED WITH THE INDIFFERENCE OF A MAN ACCUSTOMED TO SPEND HALF HIS TIME AMONGST THE DEAD HE THEN LIFTED THE SHEET WHICH WAS PLACED OVER THE FACE AND JUST UNCLOSED THE LIPS,THE DISTRICT DOCTOR APPROACHED WITH THE INDIFFERENCE OF A MAN ACCUSTOMED TO SPEND HALF HIS TIME AMONGST THE DEAD HE THEN LIFTED THE SHEET WHICH WAS PLACED OVER THE FACE AND JUST UNCLOSED THE LIPS,,"Le médecin de district s'est approché avec l'indifférence d'un homme habitué à passer la moitié de son temps parmi les morts, il a ensuite soulevé la feuille qui a été placée sur le visage et a simplement non clôturé les lèvres",84-121123-0024 ,"84-121123-0024 Le médecin de district s'est approché avec l'indifférence d'un homme habitué à passer la moitié de son temps parmi les morts, il a ensuite soulevé la feuille qui a été placée sur le visage et a simplement non clôturé les lèvres"
